Name,Country,Continent,Housing,Cost_of_Living,Commute,Safety,Healthcare,Education
Aarhus,Denmark,Europe,6.1315,4.015,6.31175,9.6165,8.70433333333333,5.3665
Adelaide,Australia,Oceania,6.3095,4.692,5.33625,7.926,7.93666666666667,5.142
Albuquerque,New Mexico,North America,7.262,6.059,5.05575,1.3435,6.43,4.152
Almaty,Kazakhstan,Asia,9.282,9.333,5.87125,7.309,4.54566666666667,2.283
Amsterdam,Netherlands,Europe,3.053,3.824,6.1185,8.5035,7.90733333333333,6.18
Anchorage,Alaska,North America,5.4335,3.141,4.71525,3.4705,6.06033333333333,3.6245
Andorra,Andorra,Europe,3.969,0,0,9.5535,0,0
Ankara,Turkey,Asia,9.928,9.125,5.291,7.425,6.91433333333333,2.0285
Asheville,North Carolina,North America,5.856,5.311,1.358,5.8525,6.72533333333333,3.6245
Asuncion,Paraguay,South America,9.2265,9.295,4.96875,6.9345,5.48533333333333,0
Athens,Greece,Europe,9.0525,6.5,5.21975,6.7585,7.153,3.1625
Atlanta,Georgia,North America,4.9755,5.241,3.89775,2.6725,6.02333333333333,6.457
Auckland,New Zealand,Oceania,4.72,4.47,4.845,7.0215,8.16266666666667,5.0465
Austin,Texas,North America,4.3345,5.355,4.3305,5.069,6.28166666666667,5.315
Baku,Azerbaijan,Asia,9.745,9.806,5.492,8.772,3.702,0
Bali,Indonesia,Asia,5,0,5.1935,8.7475,4.442,0.5275
Baltimore,Maryland,North America,4.83,4.982,4.93475,2.373,6.87066666666667,5.8805
Bangkok,Thailand,Asia,7.3935,7.222,4.2935,7.0365,7.12666666666667,1.6915
Barcelona,Spain,Europe,6.323,6.074,5.69925,7.4075,8.40333333333333,5.029
Beijing,China,Asia,6.173,8.101,4.83675,7.066,6.42333333333333,7.971
Beirut,Lebanon,Asia,6.6555,6.3,4.77275,6.833,6.15933333333333,1.0035
Belfast,United Kingdom,Europe,7.532,6.014,5.28,7.679,8.16833333333333,4.6865
Belgrade,Serbia,Europe,9.2575,8.546,5.57825,6.6995,6.01033333333333,0.5
Belize City,Belize,North America,4.6425,0,0,6.052,5.504,0
Bengaluru,India,Asia,9.811,10,4.00625,7.294,3.937,0.656
Bergen,Norway,Europe,5.2295,1.805,5.8875,7.7075,7.64666666666667,4.8395
Berlin,Germany,Europe,6.395,5.524,6.196,7.2515,7.99066666666667,7.019
Bern,Switzerland,Europe,4.9225,1,5.19775,9.266,7.52033333333333,5.3455
Bilbao,Spain,Europe,6.888,5.638,5.77475,8.7805,9.32066666666667,3.759
Birmingham,United Kingdom,Europe,5.9035,5.814,5.4935,6.9465,8.29366666666667,5.0265
Birmingham,Alabama,North America,6.5555,5.133,2.02075,1.776,6.541,3.6245
Bogota,Colombia,South America,9.0275,9.08,4.964,6.222,6.30166666666667,1.534
Boise,Idaho,North America,6.9635,6.578,5.225,4.3605,6.79733333333333,3.6245
Bologna,Italy,Europe,7.472,5.189,5.53,7.337,8.57766666666667,4.2025
Bordeaux,France,Europe,7.1915,4.583,5.54975,7.466,8.82333333333333,4.442
Boston,Massachusetts,North America,1,4.259,4.39625,7.742,6.729,8.6245
Boulder,Colorado,North America,3.704,4.531,6.138,7.0735,7.05033333333333,4.679
Bozeman,Montana,North America,2.949,0,0,6.9145,6.515,4.128
Bratislava,Slovakia,Europe,7.8745,7.618,5.8115,8.618,6.752,3.2975
Brighton,United Kingdom,Europe,2.49,5.324,5.5475,8.4715,7.71633333333333,4.906
Brisbane,Australia,Oceania,5.212,5.177,4.61775,7.9035,8.31766666666667,5.921
Bristol,United Kingdom,Europe,5.216,5.242,5.44375,7.94,8.25166666666667,5.4615
Brno,Czechia,Europe,8.329,7.926,5.82725,8.5655,8.09666666666667,4.2265
Brussels,Belgium,Europe,6.355,4.477,5.38675,6.703,8.15833333333333,6.653
Bucharest,Romania,Europe,9.1865,8.516,5.0725,8.986,6.07533333333333,2.4475
Budapest,Hungary,Europe,8.5705,7.948,5.395,8.2185,5.746,3.693
Buenos Aires,Argentina,South America,8.812,7.764,4.9235,6.0395,6.979,1.422
Buffalo,New York,North America,7.0765,5.228,2.154,7.1885,6.45733333333333,4.212
Cairo,Egypt,Africa,10,10,3.99025,6.791,4.041,0.5
Calgary,Canada,North America,6.495,5.418,5.1575,7.923,8.02633333333333,5.555
Cambridge,United Kingdom,Europe,4.1055,4.851,5.62775,9.5045,8.189,6.5545
Cape Town,South Africa,Africa,6.7635,7.955,3.8425,5.328,4.343,0.8945
Caracas,Venezuela,South America,4.9025,9.82,4.54425,5.221,4.17833333333333,0
Cardiff,United Kingdom,Europe,7.065,6.082,5.76475,8.21,8.31833333333333,4.7855
Casablanca,Morocco,Africa,8.822,9.088,4.26,6.7755,4.47,0
Charleston,South Carolina,North America,4.637,3.567,4.62075,5.0555,6.77966666666667,3.6245
Charlotte,North Carolina,North America,5.549,4.987,4.134,5.3475,6.43233333333333,3.6245
Chattanooga,Tennessee,North America,6.782,6.121,0.797,4.468,6.243,3.6245
Chennai,India,Asia,10,10,4.842,7.837,4.07466666666667,0.5115
Chiang Mai,Thailand,Asia,9.3725,8.495,5.14125,8.4525,7.39366666666667,1.6875
Chicago,Illinois,North America,3.702,4.766,4.57975,3.832,6.216,7.999
Chisinau,Moldova,Europe,9.6765,9.343,5.495,7.628,5.066,1.3995
Christchurch,New Zealand,Oceania,6.934,5.096,5.51775,7.585,8.31233333333333,4.756
Cincinnati,Ohio,North America,6.6775,6.108,4.7435,4.975,6.346,4.2805
Cleveland,Ohio,North America,7.156,5.595,4.42125,3.637,6.75566666666667,4.6185
Cluj-Napoca,Romania,Europe,9.165,8.794,5.876,9.4745,6.43433333333333,2.448
Cologne,Germany,Europe,6.5265,5.607,5.38175,6.6295,8.04,5.1035
Colorado Springs,Colorado,North America,6.4995,5.375,1.73525,5.3775,5.844,3.6245
Columbus,Ohio,North America,6.2895,5.746,5.02675,5.2815,6.406,5.0475
Copenhagen,Denmark,Europe,4.227,3.426,6.2955,9.1525,7.98533333333333,5.301
Cork,Ireland,Europe,5.5145,4.902,5.50425,8.8395,7.42633333333333,4.879
Curitiba,Brazil,South America,9.4295,8.433,4.95025,5.9465,5.897,1.0165
Dallas,Texas,North America,5.259,6.091,4.4705,4.339,6.08666666666667,4.284
Dar es Salaam,Tanzania,Africa,7.652,8.026,2.07575,6.1005,3.23866666666667,0
Delhi,India,Asia,9.752,9.869,3.71225,6.4185,3.71266666666667,0.512
Denver,Colorado,North America,3.8375,5.102,4.53,5.371,6.22033333333333,3.6245
Des Moines,Iowa,North America,6.851,6.327,2.07225,6.984,6.709,3.6245
Detroit,Michigan,North America,6.223,6.032,0.933,4.4615,5.78633333333333,5.8185
Doha,Qatar,Asia,2.1315,6.183,4.61625,9.486,7.43366666666667,1.4335
Dresden,Germany,Europe,7.8845,6.028,4.96,8.464,8.39366666666667,5.1245
